RegionName2,Year,Epidemic_Week
Afar,2021,41
Afar,2021,42
Afar,2021,43
Afar,2021,44
Afar,2021,45
Afar,2021,46
Afar,2021,47
Afar,2021,48
Afar,2021,49
Afar,2021,50
Afar,2021,51
Afar,2021,52
Afar,2022,5
Afar,2022,6
Afar,2022,7
Afar,2022,8
Afar,2022,9
Afar,2022,10
Afar,2022,11
Afar,2022,12
Afar,2022,13
Afar,2022,14
Afar,2022,15
Afar,2022,16
Afar,2022,17
Afar,2022,18
Afar,2022,19
Afar,2022,20
Afar,2022,21
Afar,2022,22
Afar,2022,23
Afar,2022,24
Afar,2022,25
Afar,2022,26
Afar,2022,27
Afar,2022,34
Afar,2022,35
Afar,2022,36
Afar,2022,37
Afar,2022,38
Afar,2022,39
Afar,2022,40
Afar,2022,41
Afar,2022,42
Afar,2022,43
Afar,2022,44
Afar,2022,45
Afar,2022,46
Afar,2022,47
Afar,2022,48
Afar,2022,49
Afar,2022,50
Afar,2022,51
Afar,2022,52
Amhara,2020,1
Amhara,2020,2
Amhara,2020,3
Amhara,2020,4
Amhara,2020,5
Amhara,2020,6
Amhara,2020,7
Amhara,2020,8
Amhara,2020,9
Amhara,2020,10
Amhara,2020,11
Amhara,2020,12
Amhara,2020,13
Amhara,2020,14
Amhara,2020,15
Amhara,2020,16
Amhara,2020,17
Amhara,2020,18
Amhara,2020,19
Amhara,2020,20
Amhara,2020,21
Amhara,2020,22
Amhara,2020,23
Amhara,2020,24
Amhara,2020,25
Amhara,2020,26
Amhara,2020,27
Amhara,2020,28
Amhara,2020,29
Amhara,2020,30
Amhara,2020,31
Amhara,2020,32
Amhara,2020,33
Amhara,2020,34
Amhara,2020,35
Amhara,2020,36
Amhara,2020,37
Amhara,2020,38
Amhara,2020,39
Amhara,2020,40
Amhara,2020,41
Amhara,2020,42
Amhara,2020,43
Amhara,2020,44
Amhara,2020,45
Amhara,2020,46
Amhara,2020,47
Amhara,2020,48
Amhara,2020,49
Amhara,2020,50
Amhara,2020,51
Amhara,2020,52
Amhara,2021,1
Amhara,2021,2
Amhara,2021,3
Amhara,2021,4
Amhara,2021,5
Amhara,2021,6
Amhara,2021,7
Amhara,2021,8
Amhara,2021,9
Amhara,2021,10
Amhara,2021,11
Amhara,2021,12
Amhara,2021,13
Amhara,2021,14
Amhara,2021,15
Amhara,2021,16
Amhara,2021,17
Amhara,2021,18
Amhara,2021,19
Amhara,2021,20
Amhara,2021,21
Amhara,2021,22
Amhara,2021,23
Amhara,2021,24
Amhara,2021,25
Amhara,2021,26
Amhara,2021,27
Amhara,2021,28
Amhara,2021,29
Amhara,2021,30
Amhara,2021,31
Amhara,2021,32
Amhara,2021,33
Amhara,2021,34
Amhara,2021,35
Amhara,2021,36
Amhara,2021,37
Amhara,2021,38
Amhara,2021,39
Amhara,2021,40
Amhara,2021,41
Amhara,2021,42
Amhara,2021,43
Amhara,2021,44
Amhara,2021,45
Amhara,2021,46
Amhara,2021,47
Amhara,2021,48
Amhara,2021,49
Amhara,2021,50
Amhara,2021,51
Amhara,2021,52
Amhara,2022,5
Amhara,2022,6
Amhara,2022,7
Amhara,2022,8
Amhara,2022,9
Amhara,2022,10
Amhara,2022,11
Amhara,2022,12
Amhara,2022,13
Amhara,2022,14
Amhara,2022,15
Amhara,2022,16
Amhara,2022,17
Amhara,2022,18
Amhara,2022,19
Amhara,2022,20
Amhara,2022,21
Amhara,2022,22
Amhara,2022,23
Amhara,2022,24
Amhara,2022,25
Amhara,2022,26
Amhara,2022,27
Amhara,2022,34
Amhara,2022,35
Amhara,2022,36
Amhara,2022,37
Amhara,2022,38
Amhara,2022,39
Amhara,2022,40
Amhara,2022,41
Amhara,2022,42
Amhara,2022,43
Amhara,2022,44
Amhara,2022,45
Amhara,2022,46
Amhara,2022,47
Amhara,2022,48
Amhara,2022,49
Amhara,2022,50
Amhara,2022,51
Amhara,2022,52
Benishangul-Gumuz,2014,52
Benishangul-Gumuz,2015,14
Benishangul-Gumuz,2015,16
Benishangul-Gumuz,2015,19
Benishangul-Gumuz,2015,20
Benishangul-Gumuz,2015,21
Benishangul-Gumuz,2020,1
Benishangul-Gumuz,2020,2
Benishangul-Gumuz,2020,3
Benishangul-Gumuz,2020,4
Benishangul-Gumuz,2020,5
Benishangul-Gumuz,2020,6
Benishangul-Gumuz,2020,7
Benishangul-Gumuz,2020,8
Benishangul-Gumuz,2020,9
Benishangul-Gumuz,2020,10
Benishangul-Gumuz,2020,11
Benishangul-Gumuz,2020,12
Benishangul-Gumuz,2020,13
Benishangul-Gumuz,2020,14
Benishangul-Gumuz,2020,15
Benishangul-Gumuz,2020,16
Benishangul-Gumuz,2020,17
Benishangul-Gumuz,2020,18
Benishangul-Gumuz,2020,19
Benishangul-Gumuz,2020,20
Benishangul-Gumuz,2020,21
Benishangul-Gumuz,2020,22
Benishangul-Gumuz,2020,23
Benishangul-Gumuz,2020,24
Benishangul-Gumuz,2020,25
Benishangul-Gumuz,2020,26
Benishangul-Gumuz,2020,27
Benishangul-Gumuz,2020,28
Benishangul-Gumuz,2020,29
Benishangul-Gumuz,2020,30
Benishangul-Gumuz,2020,31
Benishangul-Gumuz,2020,32
Benishangul-Gumuz,2020,33
Benishangul-Gumuz,2020,34
Benishangul-Gumuz,2020,35
Benishangul-Gumuz,2020,36
Benishangul-Gumuz,2020,37
Benishangul-Gumuz,2020,38
Benishangul-Gumuz,2020,39
